ROUND: 1, score: 1, time: 52.227723836898804
ROUND: 2, score: 17, time: 405.90885853767395
ROUND: 3, score: 14, time: 276.01220059394836
ROUND: 4, score: 2, time: 50.241554975509644
ROUND: 5, score: 0, time: 78.45319533348083
ROUND: 6, score: 0, time: 22.771791219711304
ROUND: 7, score: 7, time: 146.46212887763977
ROUND: 8, score: 5, time: 139.01932382583618
ROUND: 9, score: 14, time: 287.13886857032776
ROUND: 10, score: 10, time: 270.20317339897156
ROUND: 11, score: 2, time: 93.08910131454468
ROUND: 12, score: 9, time: 285.2219605445862
ROUND: 13, score: 0, time: 24.563125610351562
ROUND: 14, score: 5, time: 198.23765993118286
ROUND: 15, score: 11, time: 269.5970242023468
ROUND: 16, score: 6, time: 181.74349641799927
ROUND: 17, score: 14, time: 323.4551203250885
ROUND: 18, score: 0, time: 20.693208932876587
ROUND: 19, score: 19, time: 605.8288817405701
ROUND: 20, score: 2, time: 46.356860637664795
ROUND: 21, score: 4, time: 179.56744766235352
ROUND: 22, score: 12, time: 282.23169231414795
ROUND: 23, score: 0, time: 24.998674631118774
ROUND: 24, score: 13, time: 350.9097418785095
ROUND: 25, score: 3, time: 121.22353792190552
ROUND: 26, score: 3, time: 63.967859983444214
ROUND: 27, score: 2, time: 40.1348831653595
ROUND: 28, score: 0, time: 23.31616759300232
ROUND: 29, score: 2, time: 122.48583984375
ROUND: 30, score: 5, time: 124.97908520698547
ROUND: 31, score: 41, time: 916.1022455692291
